Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
0,"N Symeonidis, C Nalmpantis, D Vrakas","A Benchmark Framework to Evaluate Energy Disaggregation Solutions",2019,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-20257-6_2","",174,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,3,1
0,"Z Wang","A Deep Learning Approach to Identifying Household Appliances from Electricity Data",,"project-archive.inf.ed.ac.uk","","https://project-archive.inf.ed.ac.uk/msc/20161843/msc_proj.pdf","",171,"2020-01-11 14:06:34","PDF","","","",,,,,0,0.00,0,1,
0,"W Long, L Chen, X Li","A Framework of Energy Disaggregation Based on Adaptive Association Rules Mining",2016,"DEStech Transactions on Engineering …","dpi-proceedings.com","http://www.dpi-proceedings.com/index.php/dtetr/article/view/9790","",90,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,3,4
4,"Y Chen, JF Martínez-Ortega, P Castillejo, ...","A Homomorphic-Based Multiple Data Aggregation Scheme for Smart Grid",2019,"IEEE Sensors …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8633950/","https://scholar.google.com/scholar?cites=10023862256078485831&as_sdt=2005&sciodt=0,5&hl=en",357,"2020-01-11 14:06:34","","","","",,,,,4,4.00,1,4,1
1,"MA Jarwar, S Ali, I Chong","A Microservices Model to Enhance the Availability of Data for Building Energy Efficiency Management Services",2019,"Energies","mdpi.com","https://www.mdpi.com/1996-1073/12/3/360","https://scholar.google.com/scholar?cites=1574777308673450670&as_sdt=2005&sciodt=0,5&hl=en",338,"2020-01-11 14:06:34","","","","",,,,,1,1.00,0,3,1
2,"R Quindai, BM Barbosa, CMP Almeida, HS Ramos, ...","A Non Intrusive Low Cost Kit for Electric Power Measuring and Energy Disaggregation",2018,"","hrcak.srce.hr","https://hrcak.srce.hr/199004","https://scholar.google.com/scholar?cites=7294367014976266396&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-01-11 14:06:34","","","","",,,,,2,1.00,0,5,2
1,"W Kong, ZY Dong, B Wang, J Zhao, ...","A Practical Solution for Non-Intrusive Type II Load Monitoring based on Deep Learning and Post-Processing",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8720065/","https://scholar.google.com/scholar?cites=9193129794921102614&as_sdt=2005&sciodt=0,5&hl=en",264,"2020-01-11 14:06:34","","","","",,,,,1,1.00,0,5,1
0,"A Madenur Venkatesha","A Study Of Energy Disaggregation Using Deep Learning",2018,"","escholarship.org","https://escholarship.org/uc/item/5jc2x5zt","",116,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,1,2
1,"Y Jia, N Batra, H Wang, K Whitehouse","A Tree-Structured Neural Network Model for Household Energy Breakdown",2019,"The World Wide Web …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3313405","https://scholar.google.com/scholar?cites=8158767488608155482&as_sdt=2005&sciodt=0,5&hl=en",150,"2020-01-11 14:06:34","","","","",,,,,1,1.00,0,4,1
0,"P Dash, K Naik","A Very Deep One Dimensional Convolutional Neural Network (VDOCNN) for Appliance Power Signature Classification",2018,"2018 IEEE Electrical Power and Energy …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8598355/","",50,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,2,2
9,"RP Singh, C Shen, A Phanishayee, A Kansal, ...","A case for ending monolithic apps for connected devices",2015,"15th Workshop on Hot …","usenix.org","https://www.usenix.org/conference/hotos15/workshop-program/presentation/singh","https://scholar.google.com/scholar?cites=11139646669496837876&as_sdt=2005&sciodt=0,5&hl=en",176,"2020-01-11 14:06:34","","","","",,,,,9,1.80,2,5,5
13,"MA Mengistu, AA Girmay, C Camarda, ...","A cloud-based on-line disaggregation algorithm for home appliance loads",2018,"… on Smart Grid","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8337762/","https://scholar.google.com/scholar?cites=9820114840174837621&as_sdt=2005&sciodt=0,5&hl=en",356,"2020-01-11 14:06:34","","","","",,,,,13,6.50,3,4,2
11,"HA Cao, TK Wijaya, K Aberer, ...","A collaborative framework for annotating energy datasets",2015,"2015 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7364072/","https://scholar.google.com/scholar?cites=11642024772798950610&as_sdt=2005&sciodt=0,5&hl=en",115,"2020-01-11 14:06:34","","","","",,,,,11,2.20,3,4,5
61,"N Batra, O Parson, M Berges, A Singh, ...","A comparison of non-intrusive load monitoring methods for commercial and residential buildings",2014,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1408.6595","https://scholar.google.com/scholar?cites=1949752291790901378&as_sdt=2005&sciodt=0,5&hl=en",37,"2020-01-11 14:06:34","","","","",,,,,61,10.17,12,5,6
15,"M Kahl, A Ul Haq, T Kriechbaumer, ...","A comprehensive feature study for appliance recognition on high frequency energy data",2017,"Proceedings of the Eighth …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3077845","https://scholar.google.com/scholar?cites=15396181635843870265&as_sdt=2005&sciodt=0,5&hl=en",72,"2020-01-11 14:06:34","","","","",,,,,15,5.00,4,4,3
0,"N Batra, R Kukunuri, A Pandey, R Malakar, ...","A demonstration of reproducible state-of-the-art energy disaggregation using NILMTK",2019,"Proceedings of the 6th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3360322.3360999","",7,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,5,1
0,"A Musa, GD Nugraha, K Ramli, D Choi","A design of data-driven energy-use profiling in residential buildings",2018,"Proceedings of the 5th …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3281021","",20,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,4,2
56,"A Cominola, M Giuliani, D Piga, A Castelletti, ...","A hybrid signature-based iterative disaggregation algorithm for non-intrusive load monitoring",2017,"Applied Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S030626191631488X","https://scholar.google.com/scholar?cites=7893971906098159706&as_sdt=2005&sciodt=0,5&hl=en",263,"2020-01-11 14:06:34","","","","",,,,,56,18.67,11,5,3
9,"MN Meziane, T Picon, P Ravier, ...","A measurement system for creating datasets of on/off-controlled electrical loads",2016,"2016 IEEE 16th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7555847/","https://scholar.google.com/scholar?cites=14198232382063794708&as_sdt=2005&sciodt=0,5&hl=en",275,"2020-01-11 14:06:34","","","","",,,,,9,2.25,2,4,4
7,"WA Souza, FP Marafão, EV Liberado, ...","A nilm dataset for cognitive meters based on conservative power theory and pattern recognition techniques",2018,"Journal of Control …","Springer","https://link.springer.com/article/10.1007/s40313-018-0417-4","https://scholar.google.com/scholar?cites=2798832526593825687&as_sdt=2005&sciodt=0,5&hl=en",230,"2020-01-11 14:06:34","","","","",,,,,7,3.50,2,4,2
1,"R Quindai, CMP Almeida, HS Ramos, ...","A non intrusive low cost Arduino-based three phase sensor kit for electric power measuring",2017,"… on Computer and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8019245/","https://scholar.google.com/scholar?cites=11325330609295877902&as_sdt=2005&sciodt=0,5&hl=en",107,"2020-01-11 14:06:34","","","","",,,,,1,0.33,0,4,3
5,"B Buddhahai, W Wongseree, P Rakkwamsuk","A non-intrusive load monitoring system using multi-label classification approach",2018,"Sustainable cities and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2210670717315366","https://scholar.google.com/scholar?cites=4816027147312538114&as_sdt=2005&sciodt=0,5&hl=en",244,"2020-01-11 14:06:34","","","","",,,,,5,2.50,2,3,2
2,"H Cao, S Liu, R Zhao, H Gu, J Bao, ...","A privacy preserving model for energy Internet base on differential privacy",2017,"2017 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7926875/","https://scholar.google.com/scholar?cites=7671340898150978090&as_sdt=2005&sciodt=0,5&hl=en",287,"2020-01-11 14:06:34","","","","",,,,,2,0.67,0,6,3
2,"S De Stercke, A Mijic, J Keirstead","A review of urban water-energy linkages in end-use: a call for joint demand studies",2016,"International Journal of …","journalijecc.com","http://www.journalijecc.com/index.php/IJECC/article/view/27252","https://scholar.google.com/scholar?cites=15489613195867630072&as_sdt=2005&sciodt=0,5&hl=en",114,"2020-01-11 14:06:34","","","","",,,,,2,0.50,1,3,4
0,"A Saoud, A Recioui","A review on Data communication in smart grids",2017,"","ajss.univ-boumerdes.dz","http://ajss.univ-boumerdes.dz/files/Vol.2_issue3/paper4.pdf","",304,"2020-01-11 14:06:34","PDF","","","",,,,,0,0.00,0,2,3
45,"A Faustine, NH Mvungi, S Kaijage, ...","A survey on non-intrusive load monitoring methodies and techniques for energy disaggregation problem",2017,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1703.00785","https://scholar.google.com/scholar?cites=8972117075660984704&as_sdt=2005&sciodt=0,5&hl=en",49,"2020-01-11 14:06:34","","","","",,,,,45,15.00,11,4,3
0,"POFEC DATA","ADVANCES TO ENERGY INFORMATICS",,"dokumente.ub.tu-clausthal.de","","https://dokumente.ub.tu-clausthal.de/servlets/MCRFileNodeServlet/clausthal_derivate_00000674/Habilitationsschrift_Reinhardt_A.pdf","",183,"2020-01-11 14:06:34","PDF","","","",,,,,0,0.00,0,1,
8,"N Buneeva, A Reinhardt","AMBAL: Realistic load signature generation for load disaggregation performance evaluation",2017,"2017 IEEE International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8340657/","https://scholar.google.com/scholar?cites=9589188962798525306&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-01-11 14:06:34","","","","",,,,,8,2.67,4,2,3
1,"H Cao, S Liu, Z Guan, L Wu, T Wang","Achieving Differential Privacy of Data Disclosure from Non-intrusive Load Monitoring in Smart Grid",2017,"International Symposium on …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-69471-9_3","https://scholar.google.com/scholar?cites=14196687099467398641&as_sdt=2005&sciodt=0,5&hl=en",98,"2020-01-11 14:06:34","","","","",,,,,1,0.33,0,5,3
8,"H Cao, S Liu, L Wu, Z Guan, X Du","Achieving differential privacy against non‐intrusive load monitoring in smart grid: A fog computing approach",2019,"… and Computation: Practice …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.4528","https://scholar.google.com/scholar?cites=8823038411860564652&as_sdt=2005&sciodt=0,5&hl=en",99,"2020-01-11 14:06:34","","","","",,,,,8,8.00,2,5,1
0,"Y Jia, N Batra, H Wang, K Whitehouse","Active collaborative sensing for energy breakdown",2019,"Proceedings of the 28th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3357384.3357929","",204,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,4,1
4,"S Hattori, Y Shinohara","Actual Consumption Estimation Algorithm for Occupancy Detection using Low Resolution Smart Meter Data.",2017,"SENSORNETS","scitepress.org","https://www.scitepress.org/Papers/2017/61294/61294.pdf","https://scholar.google.com/scholar?cites=2907984248723915626&as_sdt=2005&sciodt=0,5&hl=en",212,"2020-01-11 14:06:34","PDF","","","",,,,,4,1.33,2,2,3
0,"H Wang, M Zhao, C Niu, H Wang","Aggregately Regularized Multi-task Matrix Factorization for Household Energy Breakdown",2019,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-29551-6_30","",172,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,4,1
4,"OI Oluwasuji, O Malik, J Zhang, SD Ramchurn","Algorithms for Fair Load Shedding in Developing Countries.",2018,"IJCAI","ijcai.org","https://www.ijcai.org/proceedings/2018/0220.pdf","https://scholar.google.com/scholar?cites=154814482201730985&as_sdt=2005&sciodt=0,5&hl=en",239,"2020-01-11 14:06:34","PDF","","","",,,,,4,2.00,1,4,2
3,"A Fiol Arguimbau","Algorithms for energy disaggregation",2016,"","upcommons.upc.edu","https://upcommons.upc.edu/handle/2117/89937","https://scholar.google.com/scholar?cites=17750750447636099428&as_sdt=2005&sciodt=0,5&hl=en",100,"2020-01-11 14:06:34","","","","",,,,,3,0.75,3,1,4
2,"OI Oluwasuji, O Malik, J Zhang, ...","Algorithms to Manage Load Shedding Events in Developing Countries",2018,"Proceedings of the 17th …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3238062","https://scholar.google.com/scholar?cites=18226838411751607425&as_sdt=2005&sciodt=0,5&hl=en",141,"2020-01-11 14:06:34","","","","",,,,,2,1.00,1,4,2
2,"H Cao, S Liu, Z Guan, L Wu, H Deng, ...","An Efficient Privacy-Preserving Algorithm based on Randomized Response in IoT-based Smart Grid",2018,"2018 IEEE SmartWorld …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8560138/","https://scholar.google.com/scholar?cites=14426278068417743040&as_sdt=2005&sciodt=0,5&hl=en",156,"2020-01-11 14:06:34","","","","",,,,,2,1.00,0,6,2
17,"W He, Y Chai","An Empirical Study on Energy Disaggregation via Deep Learning",2016,"2016 2nd International Conference on Artificial …","atlantis-press.com","https://www.atlantis-press.com/proceedings/aiie-16/25866379","https://scholar.google.com/scholar?cites=5845125880481186609&as_sdt=2005&sciodt=0,5&hl=en",109,"2020-01-11 14:06:34","","","","",,,,,17,4.25,9,2,4
0,"B Buddhahai, W Wongseree, ...","An Energy Prediction Approach for a Nonintrusive Load Monitoring in Home Appliances",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8917581/","",182,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,3,1
3,"H Wang, W Yang, T Chen, Q Yang","An Optimal Load Disaggregation Method Based on Power Consumption Pattern for Low Sampling Data",2019,"Sustainability","mdpi.com","https://www.mdpi.com/2071-1050/11/1/251","https://scholar.google.com/scholar?cites=6466728717794631699&as_sdt=2005&sciodt=0,5&hl=en",233,"2020-01-11 14:06:34","","","","",,,,,3,3.00,1,4,1
8,"M Zhuang, M Shahidehpour, Z Li","An Overview of Non-Intrusive Load Monitoring: Approaches, Business Applications, and Challenges",2018,"… International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8601534/","https://scholar.google.com/scholar?cites=14477766216588813868&as_sdt=2005&sciodt=0,5&hl=en",89,"2020-01-11 14:06:34","","","","",,,,,8,4.00,3,3,2
59,"D Murray, L Stankovic, V Stankovic","An electrical load measurements dataset of United Kingdom households from a two-year longitudinal study",2017,"Scientific data","nature.com","https://www.nature.com/articles/sdata2016122","https://scholar.google.com/scholar?cites=11269669263968273167&as_sdt=2005&sciodt=0,5&hl=en",32,"2020-01-11 14:06:34","HTML","","","",,,,,59,19.67,20,3,3
36,"W Kong, ZY Dong, J Ma, DJ Hill, ...","An extensible approach for non-intrusive load disaggregation with smart meter data",2016,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7750555/","https://scholar.google.com/scholar?cites=11178058180174381970&as_sdt=2005&sciodt=0,5&hl=en",175,"2020-01-11 14:06:34","","","","",,,,,36,9.00,7,5,4
45,"M Gulati, SS Ram, A Singh","An in depth study into using EMI signatures for appliance identification",2014,"Proceedings of the 1st ACM Conference on …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2674070","https://scholar.google.com/scholar?cites=4402104017129454037&as_sdt=2005&sciodt=0,5&hl=en",329,"2020-01-11 14:06:34","","","","",,,,,45,7.50,15,3,6
9,"H Wang, W Yang","An iterative load disaggregation approach based on appliance consumption pattern",2018,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/8/4/542","https://scholar.google.com/scholar?cites=8544870917467177651&as_sdt=2005&sciodt=0,5&hl=en",218,"2020-01-11 14:06:34","","","","",,,,,9,4.50,5,2,2
7,"A Monacchi, F Versolatto, M Herold, ...","An open solution to provide personalized feedback for building energy management",2017,"Journal of Ambient …","content.iospress.com","https://content.iospress.com/articles/journal-of-ambient-intelligence-and-smart-environments/ais422","https://scholar.google.com/scholar?cites=15469785209964731435&as_sdt=2005&sciodt=0,5&hl=en",251,"2020-01-11 14:06:34","","","","",,,,,7,2.33,2,4,3
0,"C Rottondi, M Derboni, D Piga, AE Rizzoli","An optimisation-based energy disaggregation algorithm for low frequency smart meter data",2019,"Energy Informatics","Springer","https://link.springer.com/article/10.1186/s42162-019-0089-8","",46,"2020-01-11 14:06:34","HTML","","","",,,,,0,0.00,0,4,1
5,"B Liu, Y Yu, W Luan, B Zeng","An unsupervised electrical appliance modeling framework for non-intrusive load monitoring",2017,"2017 IEEE Power & Energy …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8273794/","https://scholar.google.com/scholar?cites=5850431846895780793&as_sdt=2005&sciodt=0,5&hl=en",199,"2020-01-11 14:06:34","","","","",,,,,5,1.67,1,4,3
